Author,Title,Journal,Publishing Date,Publishing Year,Accept/Reject,why,note,accept/reject_2,why_2,Done,why_3,comments
"Maurya, JP; Triozzi, PM; Bhalerao, RP; Perales, M",Environmentally Sensitive Molecular Switches Drive Poplar Phenology,FRONTIERS IN PLANT SCIENCE,17-Dec,2018,r,no trat or phenological change measured,,,,,,
"Martinez-Diaz, E; Martinez-Sanchez, JJ; Conesa, E; Franco, JA; Vicente, MJ","Germination and morpho-phenological traits of Allium melananthum, a rare species from south-eastern Spain",FLORA,DEC,2018,r,no measured phenology,,,,,,
"Giraudeau, M; Toomey, MB; Hutton, P; McGraw, KJ",Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context,BEHAVIORAL ECOLOGY,NOV-DEC,2018,r,no measured phenology,,,,,,
"Arfin Khan, MAS; Beierkuhnlein, C; Kreyling, J; Backhaus, S; Varga, S; Jentsch, A",Phenological Sensitivity of Early and Late Flowering Species Under Seasonal Warming and Altered Precipitation in a Seminatural Temperate Grassland Ecosystem,ECOSYSTEMS,NOV,2018,a,,,a,,Y,,
"Sun, BJ; Ma, L; Li, SR; Williams, CM; Wang, Y; Hao, X; Du, WG",Phenology and the physiological niche are co-adapted in a desert-dwelling lizard,FUNCTIONAL ECOLOGY,NOV,2018,a,,,r,1 species (Phrynocephalus przewalskii),,,
"Zhang, JZ; Gou, XH; Manzanedo, RD; Zhang, F; Pederson, N",Cambial phenology and xylogenesis of Juniperus przewalskii over a climatic gradient is influenced by both temperature and drought,AGRICULTURAL AND FOREST METEOROLOGY,15-Oct,2018,r,no trait measured,,,,,,
"Ettinger, AK; Gee, S; Wolkovich, EM",Phenological sequences: how early-season events define those that follow,AMERICAN JOURNAL OF BOTANY,OCT,2018,r,no trait measured,,,,,,
"Zhang, JH; Yi, QF; Xing, FW; Tang, CY; Wang, L; Ye, W; Ng, II; Chan, TI; Chen, HF; Liu, DM",Rapid Shifts of Peak Flowering Phenology in 12 Species under the Effects of Extreme Climate Events in Macao,SCIENTIFIC REPORTS,17-Sep,2018,a,,maybe no trait data,a,,Y,,Weird - maybe no actual tracking data?
"Carbognani, M; Tomaselli, M; Petraglia, A",Different temperature perception in high-elevation plants: new insight into phenological development and implications for climate change in the alpine tundra,OIKOS,JUL,2018,a,,,a,,,,
"Rogora, M; Frate, L; Carranza, ML; Freppaz, M; Stanisci, A; Bertani, I; Bottarin, R; Brambilla, A; Canullo, R; Carbognani, M; Cerrato, C; Chelli, S; Cremonese, E; Cutini, M; Di Musciano, M; Erschbamer, B; Godone, D; Iocchi, M; Isabellon, M; Magnani, A; Mazzola, L; di Cella, UM; Pauli, H; Petey, M; Petriccione, B; Porro, F; Psenner, R; Rossetti, G; Scotti, A; Sommaruga, R; Tappeiner, U; Theurillat, JP; Tomaselli, M; Viglietti, D; Viterbi, R; Vittoz, P; Winkler, M; Matteucci, G",Assessment of climate change effects on mountain ecosystems through a cross-site analysis in the Alps and Apennines,SCIENCE OF THE TOTAL ENVIRONMENT,15-May,2018,a,,,a,,N,No trait,
"Abernethy, K; Bush, ER; Forget, PM; Mendoza, I; Morellato, LPC",Current issues in tropical phenology: a synthesis,BIOTROPICA,MAY,2018,r,review - no data,,,,,,
"Konig, P; Tautenhahn, S; Cornelissen, JHC; Kattge, J; Bonisch, G; Romermann, C",Advances in flowering phenology across the Northern Hemisphere are explained by functional traits,GLOBAL ECOLOGY AND BIOGEOGRAPHY,MAR,2018,a,,,r,meta-analysis,,,
"Lustenhouwer, N; Wilschut, RA; Williams, JL; van der Putten, WH; Levine, JM",Rapid evolution of phenology during range expansion with recent climate change,GLOBAL CHANGE BIOLOGY,FEB,2018,r,no trait measured,,,,,,
"Harrison, T; Gibbs, J; Winfree, R",Forest bees are replaced in agricultural and urban landscapes by native species with different phenologies and life-history traits,GLOBAL CHANGE BIOLOGY,JAN,2018,a,,,a,,N,no phenological tracking data,
"Sheridan, JA; Caruso, NM; Apodaca, JJ; Rissler, LJ",Shifts in frog size and phenology: Testing predictions of climate change on a widespread anuran using data from prior to rapid climate warming,ECOLOGY AND EVOLUTION,JAN,2018,a,,,r,1 species (Lithobates sylvaticus),,,
"Cremonese, E; Filippa, G; Galvagno, M; Siniscalco, C; Oddi, L; di Cella, UM; Migliavacca, M",Heat wave hinders green wave: The impact of climate extreme on the phenology of a mountain grassland,AGRICULTURAL AND FOREST METEOROLOGY,15-Dec,2017,r,no phenology change measured,,,,,,
"Scranton, K; Amarasekare, P",Predicting phenological shifts in a changing climate,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,12-Dec,2017,r,theory/model - no data,,,,,,
"Kaur, A; Batish, DR; Kaur, S; Singh, HP; Kohli, RK",Phenological behaviour of Parthenium hysterophorus in response to climatic variations according to the extended BBCH scale,ANNALS OF APPLIED BIOLOGY,NOV,2017,r,no trait measured,,,,,,
"Brooks, SJ; Self, A; Powney, GD; Pearse, WD; Penn, M; Paterson, GLJ",The influence of life history traits on the phenological response of British butterflies to climate variability since the late-19th century,ECOGRAPHY,OCT,2017,a,,,a,,Y,,
"Sivadasan, U; Randriamanana, T; Chenhao, C; Virjamo, V; Nybakken, L; Julkunen-Tiitto, R",Effect of climate change on bud phenology of young aspen plants (Populus tremula. L),ECOLOGY AND EVOLUTION,OCT,2017,a,,male/female,r,1 species (Populus tremula),,,
"Moran, MA; Sadras, VO; Petrie, PR","Late pruning and carry-over effects on phenology, yield components and berry traits in Shiraz",AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,OCT,2017,a,,only measured traits relative to wine,r,1 species (Shiraz),,,
"Du, YJ; Chen, JR; Willis, CG; Zhou, ZQ; Liu, T; Dai, WJ; Zhao, Y; Ma, KP",Phylogenetic conservatism and trait correlates of spring phenological responses to climate change in northeast China,ECOLOGY AND EVOLUTION,SEP,2017,a,,native/invasive,a,,Y,,
"Call, AC; St Clair, SB","Outbreak of Drepanopeziza fungus in aspen forests and variation in stand susceptibility: leaf functional traits, compensatory growth and phenology",TREE PHYSIOLOGY,SEP,2017,r,no measured phenology,,,,,,
"Shim, D; Lee, KJ; Lee, BW",Response of phenology- and yield-related traits of maize to elevated temperature in a temperate region,CROP JOURNAL,AUG,2017,a,,,a,,N,one species - maize,
"Hegazy, AK; Kabiel, HF; Al-Rowaily, SL; Lovett-Doust, L; Borki, AENS",Plant communities and reproductive phenology in mountainous regions of northern Libya,JOURNAL OF FORESTRY RESEARCH,JUL,2017,r,no phenology change measured,,,,,,
"Lemoine, NP; Doublet, D; Salminen, JP; Burkepile, DE; Parker, JD","Responses of plant phenology, growth, defense, and reproduction to interactive effects of warming and insect herbivory",ECOLOGY,JUL,2017,a,,,r,1 species (Popillia japonica),,,
"Hovel, RA; Carlson, SM; Quinn, TP","Climate change alters the reproductive phenology and investment of a lacustrine fish, the three-spine stickleback",GLOBAL CHANGE BIOLOGY,JUN,2017,a,,,r,1 species (Gasterosteus aculeatus),,,
"Krajmerova, D; Hrivnak, M; Ditmarova, L; Jamnicka, G; Kmet', J; Kurjak, D; Gomory, D","Nucleotide polymorphisms associated with climate, phenology and physiological traits in European beech (Fagus sylvatica L.)",NEW FORESTS,MAY,2017,r,no measured phenology,,,,,,
"Mitchell, TS; Refsnider, JM; Sethuraman, A; Warner, DA; Janzen, FJ",Experimental assessment of winter conditions on turtle nesting behaviour,EVOLUTIONARY ECOLOGY RESEARCH,MAY,2017,a,,,a,,N,1 species (painted turtle),
"Munson, SM; Long, AL",Climate drives shifts in grass reproductive phenology across the western USA,NEW PHYTOLOGIST,MAR,2017,a,,,a,,Y,,"difficult, revisit"
"Sherwood, JA; Debinski, DM; Caragea, PC; Germino, MJ",Effects of experimentally reduced snowpack and passive warming on montane meadow plant phenology and floral resources,ECOSPHERE,MAR,2017,a,,,a,,N,no traitanalysis,
"Heimonen, K; Valtonen, A; Kontunen-Soppela, S; Keski-Saari, S; Rousi, M; Oksanen, E; Roininen, H",Susceptibility of silver birch (Betula pendula) to herbivorous insects is associated with the size and phenology of birch - implications for climate warming,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,,2017,a,,,r,1 species (Betula pendula),,,
"Romdhane, L; Dal Cortivo, C; Vamerali, T; Radhouane, L","Effects of drought and salinity on maize phenology, morphology and productivity in a semi-arid environment",ITALIAN JOURNAL OF AGROMETEOROLOGY-RIVISTA ITALIANA DI AGROMETEOROLOGIA,DEC,2016,a,,,r,1 species (Maize),,,
"Lowe, K; Castley, JG; Hero, JM",Calling phenology and detectability of a threatened amphibian (Litoria olongburensis) in ephemeral wetlands varies along a latitudinal cline: Implications for management,AUSTRAL ECOLOGY,DEC,2016,r,no trait measured,,,,,,
"Culvenor, RA; Simpson, RJ",Interaction of plant genotype and management in the persistence of a perennial grass exposed to grazing and soil fertility stresses,GRASS AND FORAGE SCIENCE,DEC,2016,r,no measured phenology,,,,,,
"Sanad, MNME; Campbell, KG; Gill, KS",Developmental program impacts phenological plasticity of spring wheat under drought,BOTANICAL STUDIES,3-Nov,2016,a,,,r,1 species (Wheat),,,
"Vander Mijnsbrugge, K; Turcsan, A; Depypere, L; Steenackers, M","Variance, Genetic Control, and Spatial Phenotypic Plasticity of Morphological and Phenological Traits in Prunus spinosa and Its Large Fruited Forms (P. x fruticans)",FRONTIERS IN PLANT SCIENCE,3-Nov,2016,a,,,r,1 species (Prunus spinosa),,,
"Lasky, JR; Uriarte, M; Muscarella, R","Synchrony, compensatory dynamics, and the functional trait basis of phenological diversity in a tropical dry forest tree community: effects of rainfall seasonality",ENVIRONMENTAL RESEARCH LETTERS,NOV,2016,a,,,a,,Y,,"Doesn’t have tracking data but gives trends, only extracted when 'sensitivity' was specified"
"Eusemann, P; Schnittler, M; Nilsson, RH; Jumpponen, A; Dahl, MB; Wurth, DG; Buras, A; Wilmking, M; Unterseher, M",Habitat conditions and phenological tree traits overrule the influence of tree genotype in the needle mycobiome-Picea glauca system at an arctic treeline ecotone,NEW PHYTOLOGIST,SEP,2016,r,no measured phenology,,,,,,
"Zhu, JT; Zhang, YJ; Wang, WF",Interactions between warming and soil moisture increase overlap in reproductive phenology among species in an alpine meadow,BIOLOGY LETTERS,JUL,2016,a,,early/late,a,,Y,,Only entered as 1 didnottry line
"Zhu, JT; Zhang, YJ; Liu, YJ",Effects of short-term grazing exclusion on plant phenology and reproductive succession in a Tibetan alpine meadow,SCIENTIFIC REPORTS,15-Jun,2016,a,,,a,,N,Phenological response to grazing treatmentand not to a natural phenomena,
"Mariano, GC; Morellato, LPC; Almeida, J; Alberton, B; de Camargo, MGG; Torres, RD",Modeling plant phenology database: Blending near-surface remote phenology with on-the-ground observations,ECOLOGICAL ENGINEERING,JUN,2016,a,,,a,,N,"Just a model, no data",
"Martinez-Adriano, CA; Jurado, E; Flores, J; Gonzalez-Rodriguez, H; Cuellar-Rodriguez, G","Flower, fruit phenology and flower traits in Cordia boissieri (Boraginaceae) from northeastern Mexico",PEERJ,17-May,2016,a,,,r,1 species (Cordia boissieri ),,,
"Brown, CJ; O'Connor, MI; Poloczanska, ES; Schoeman, DS; Buckley, LB; Burrows, MT; Duarte, CM; Halpern, BS; Pandolfi, JM; Parmesan, C; Richardson, AJ",Ecological and methodological drivers of species' distribution and phenology responses to climate change,GLOBAL CHANGE BIOLOGY,APR,2016,r,meta-analysis,meta-analysis,,,,,
"Onogi, A; Ideta, O; Yoshioka, T; Ebana, K; Yamasaki, M; Iwata, H",Uncovering a Nuisance Influence of a Phenological Trait of Plants Using a Nonlinear Structural Equation: Application to Days to Heading and Culm Length in Asian Cultivated Rice (Oryza Sativa L.),PLOS ONE,9-Feb,2016,a,,,r,1 species (Oryza Sativa),,,
"Shakar, M; Yaseen, M; Niaz, A; Mahmood, R; Iqbal, MM; Naz, T","Calcium Carbide-induced Changes in Germination, Morpho-phenological and Yield Traits in Cucumber (Cucumis sativus)",INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,,2016,r,no measured phenology,,,,,,
"Jing, J; Li, K; Liu, ZG",Effects of varying temperature on leaf phenology and herbivory of dominant tree species in subtropical evergreen broad-leaves forest in eastern China,POLISH JOURNAL OF ECOLOGY,,2016,a,,,a,,N,Traits not associated with phenological shifts - focus on herbivory,
"Blazek, P; Leps, J; Fajmon, K; Tesitel, J",Response of two hemiparasitic Orobanchaceae species to mowing dates: implications for grassland conservation and restoration practice,PLANT ECOLOGY AND EVOLUTION,,2016,r,no trait measured,,,,,,
"CaraDonna, PJ; Bain, JA",Frost sensitivity of leaves and flowers of subalpine plants is related to tissue type and phenology,JOURNAL OF ECOLOGY,JAN,2016,r,no phenology change measured,,,,,,
"Bourret, A; Belisle, M; Pelletier, F; Garant, D",Multidimensional environmental influences on timing of breeding in a tree swallow population facing climate change,EVOLUTIONARY APPLICATIONS,DEC,2015,r,no trait measured,,,,,,
"Hermance, JF; Augustine, DJ; Derner, JD",Quantifying characteristic growth dynamics in a semi-arid grassland ecosystem by predicting short-term NDVI phenology from daily rainfall: a simple four parameter coupled-reservoir model,INTERNATIONAL JOURNAL OF REMOTE SENSING,20-Nov,2015,r,no measured phenology,,,,,,
"Gomory, D; Ditmarova, L; Hrivnak, M; Jamnicka, G; Kmet', J; Krajmerova, D; Kurjak, D",Differentiation in phenological and physiological traits in European beech (Fagus sylvatica L.),EUROPEAN JOURNAL OF FOREST RESEARCH,NOV,2015,a,,give different budburst dates but not climate data,r,1 species (Fagus sylvatica),,,
"Dingkuhn, M; Sow, A; Manneh, B; Radanielina, T; Raboin, LM; Dusserre, J; Ramantsoanirina, A; Shrestha, S; Ahmadi, N; Courtois, B",Field phenomics for response of a rice diversity panel to ten environments in Senegal and Madagascar. 1. Plant phenological traits,FIELD CROPS RESEARCH,NOV,2015,r,no measured phenology,,,,,,
"Capdevielle-Vargas, R; Estrella, N; Menzel, A",Multiple-year assessment of phenological plasticity within a beech (Fagus sylvatica L.) stand in southern Germany,AGRICULTURAL AND FOREST METEOROLOGY,15-Oct,2015,a,,,r,1 species (Fagus sylvatica),,,
"Ljungstrom, G; Wapstra, E; Olsson, M",Sand lizard (Lacerta agilis) phenology in a warming world,BMC EVOLUTIONARY BIOLOGY,8-Oct,2015,r,no trait measured,,,,,,
"Xi, Y; Zhang, T; Zhang, YJ; Zhu, JT; Zhang, GL; Jiang, YB",Nitrogen addition alters the phenology of a dominant alpine plant in northern Tibet,ARCTIC ANTARCTIC AND ALPINE RESEARCH,AUG,2015,r,no trait measured,,,,,,
"Du, YJ; Mao, LF; Queenborough, SA; Freckleton, RP; Chen, B; Ma, KP",Phylogenetic constraints and trait correlates of flowering phenology in the angiosperm flora of China,GLOBAL ECOLOGY AND BIOGEOGRAPHY,AUG,2015,r,no phenology change measured,,,,,,
"Joschinski, J; Hovestadt, T; Krauss, J",Coping with shorter days: do phenology shifts constrain aphid fitness?,PEERJ,16-Jul,2015,a,,hard to define tracking here,r,1 species (Acyrthosiphon pisum),,,
"Hinks, AE; Cole, EF; Daniels, KJ; Wilkin, TA; Nakagawa, S; Sheldon, BC",Scale-Dependent Phenological Synchrony between Songbirds and Their Caterpillar Food Source,AMERICAN NATURALIST,JUL,2015,r,no trait measured,,,,,,
"Kristensen, NP; Johansson, J; Ripa, J; Jonzen, N",Phenology of two interdependent traits in migratory birds in response to climate change,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,22-May,2015,r,no trait measured,,,,,,
"Tarka, M; Hansson, B; Hasselquist, D",Selection and evolutionary potential of spring arrival phenology in males and females of a migratory songbird,JOURNAL OF EVOLUTIONARY BIOLOGY,MAY,2015,r,no trait measured,,,,,,
"Preite, V; Stocklin, J; Armbruster, GFJ; Scheepens, JF",Adaptation of flowering phenology and fitness-related traits across environmental gradients in the widespread Campanula rotundifolia,EVOLUTIONARY ECOLOGY,MAR,2015,a,,unclear weather phenology change measured,r,1 species (Campanula rotundifolia),,,
"Fernandes, P; Antunes, C; Correia, O; Maguas, C",Do climatic and habitat conditions affect the reproductive success of an invasive tree species? An assessment of the phenology of Acacia longifolia in Portugal,PLANT ECOLOGY,FEB,2015,a,,,r,1 species (Acacia longifolia),,,
"Staggemeier, VG; Diniz, JAF; Zipparro, VB; Gressler, E; de Castro, ER; Mazine, F; da Costa, IR; Lucas, E; Morellato, LPC",Clade-specific responses regulate phenological patterns in Neotropical Myrtaceae,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,,2015,a,,unclear weather phenology change measured,a,,N,Did not measure any phenological tracking,
"Bell, JR; Alderson, L; Izera, D; Kruger, T; Parker, S; Pickup, J; Shortall, CR; Taylor, MS; Verrier, P; Harrington, R","Long-term phenological trends, species accumulation rates, aphid traits and climate: five decades of change in migrating aphids",JOURNAL OF ANIMAL ECOLOGY,JAN,2015,a,,,a,,Y,,Only entered as 1 didnottry line
"Bennett, NL; Severns, PM; Parmesan, C; Singer, MC","Geographic mosaics of phenology, host preference, adult size and microhabitat choice predict butterfly resilience to climate warming",OIKOS,JAN,2015,a,,,r,1 species ( Euphydryas editha ),,,
"Possen, BJHM; Rousi, M; Silfver, T; Anttonen, MJ; Ruotsalainen, S; Oksanen, E; Vapaavuori, E",Within-stand variation in silver birch (Betula pendula Roth) phenology,TREES-STRUCTURE AND FUNCTION,DEC,2014,a,,early/late,r,1 species (Betula pendula),,,
"Lara-Romero, C; Garcia-Camacho, R; Escudero, A; Iriondo, JM","Genetic variation in flowering phenology and reproductive performance in a Mediterranean high-mountain specialist, Armeria caespitosa (Plumbaginaceae)",BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,NOV,2014,r,theoretical model,,,,,,
"Gienapp, P; Reed, TE; Visser, ME",Why climate change will invariably alter selection pressures on phenology,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,22-Oct,2014,r,no trait measured,,,,,,
"Richter-Boix, A; Orizaola, G; Laurila, A",Transgenerational phenotypic plasticity links breeding phenology with offspring life-history,ECOLOGY,OCT,2014,r,meta-analysis,,,,,,
"While, GM; Uller, T","Quo vadis amphibia? Global warming and breeding phenology in frogs, toads and salamanders",ECOGRAPHY,OCT,2014,a,,"not individual data, but combines trait and phenological data",a,,,,
"Caldas, A",SPECIES TRAITS OF RELEVANCE FOR CLIMATE VULNERABILITY AND THE PREDICTION OF PHENOLOGICAL RESPONSES TO CLIMATE CHANGE,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,2-Sep,2014,r,no trait measured,,,,,,
"Diamond, SE; Cayton, H; Wepprich, T; Jenkins, CN; Dunn, RR; Haddad, NM; Ries, L",Unexpected phenological responses of butterflies to the interaction of urbanization and geographic temperature,ECOLOGY,SEP,2014,r,no phenology change measured,,,,,,
"Keenan, TF; Darby, B; Felts, E; Sonnentag, O; Friedl, MA; Hufkens, K; O'Keefe, J; Klosterman, S; Munger, JW; Toomey, M; Richardson, AD",Tracking forest phenology and seasonal physiology using digital repeat photography: a critical assessment,ECOLOGICAL APPLICATIONS,SEP,2014,r,no trait or phenological change measured,,,,,,
"Okello, JA; Robert, EMR; Beeckman, H; Kairo, JG; Dahdouh-Guebas, F; Koedam, N","Effects of experimental sedimentation on the phenological dynamics and leaf traits of replanted mangroves at Gazi bay, Kenya",ECOLOGY AND EVOLUTION,AUG,2014,r,no phenology change measured,,,,,,
"Sunyer, P; Espelta, JM; Bonal, R; Munoz, A",Seeding phenology influences wood mouse seed choices: the overlooked role of timing in the foraging decisions by seed-dispersing rodents,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,JUL,2014,r,no trait or phenological change measured,,,,,,
"Iversen, M; Fauchald, P; Langeland, K; Ims, RA; Yoccoz, NG; Brathen, KA",Phenology and Cover of Plant Growth Forms Predict Herbivore Habitat Selection in a High Latitude Ecosystem,PLOS ONE,27-Jun,2014,r,no phenology change measured,,,,,,
"Giuliani, AL; Kelly, EF; Knapp, AK",Geographic variation in growth and phenology of two dominant central US grasses: consequences for climate change,JOURNAL OF PLANT ECOLOGY,JUN,2014,r,no phenology change measured,,,,,,
"Simard, A; Huot, J; De Bellefeuille, S; Cote, SD","Influences of Habitat Composition, Plant Phenology, and Population Density on Autumn Indices of Body Condition in a Northern White-Tailed Deer Population",WILDLIFE MONOGRAPHS,JUN,2014,r,no phenology change measured,,,,,,
"Mendivelso, HA; Camarero, JJ; Gutierrez, E; Zuidema, PA",Time-dependent effects of climate and drought on tree growth in a Neotropical dry forest: Short-term tolerance vs. long-term sensitivity,AGRICULTURAL AND FOREST METEOROLOGY,15-May,2014,r,no trait measured,,,,,,
"Strebel, N; Kery, M; Schaub, M; Schmid, H",Studying phenology by flexible modelling of seasonal detectability peaks,METHODS IN ECOLOGY AND EVOLUTION,MAY,2014,r,no trait measured,,,,,,
"Castede, S; Campoy, JA; Quero-Garcia, J; Le Dantec, L; Lafargue, M; Barreneche, T; Wenden, B; Dirlewanger, E",Genetic determinism of phenological traits highly affected by climate change in Prunus avium: flowering date dissected into chilling and heat requirements,NEW PHYTOLOGIST,APR,2014,r,no trait measured,,,,,,
"Plard, F; Gaillard, JM; Coulson, T; Hewison, AJM; Delorme, D; Warnant, C; Bonenfant, C",Mismatch Between Birth Date and Vegetation Phenology Slows the Demography of Roe Deer,PLOS BIOLOGY,APR,2014,r,no trait measured,,,,,,
"Londo, JP; McKinney, J; Schwartz, M; Bollman, M; Sagers, C; Watrud, L",Sub-lethal glyphosate exposure alters flowering phenology and causes transient male-sterility in Brassica spp,BMC PLANT BIOLOGY,21-Mar,2014,r,no trait measured,,,,,,
"Slavov, GT; Nipper, R; Robson, P; Farrar, K; Allison, GG; Bosch, M; Clifton-Brown, JC; Donnison, IS; Jensen, E","Genome-wide association studies and prediction of 17 traits related to phenology, biomass and cell wall composition in the energy grass Miscanthus sinensis",NEW PHYTOLOGIST,MAR,2014,r,no phenology change measured,,,,,,
"Gschloessl, B; Vogel, H; Burban, C; Heckel, D; Streiff, R; Kerdelhue, C",Comparative analysis of two phenologically divergent populations of the pine processionary moth (Thaumetopoea pityocampa) by de novo transcriptome sequencing,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,MAR,2014,r,no trait measured,,,,,,
"Joudi, M; Ahmadi, A; Mohammadi, V; Abbasi, A; Mohammadi, H",Genetic changes in agronomic and phenologic traits of Iranian wheat cultivars grown in different environmental conditions,EUPHYTICA,MAR,2014,r,no phenology change measured,,,,,,
"Romeu, JF; Monforte, AJ; Sanchez, G; Granell, A; Garcia-Brunton, J; Badenes, ML; Rios, G",Quantitative trait loci affecting reproductive phenology in peach,BMC PLANT BIOLOGY,22-Feb,2014,r,no phenology change measured,,,,,,
"Kharouba, HM; Paquette, SR; Kerr, JT; Vellend, M",Predicting the sensitivity of butterfly phenology to temperature over the past century,GLOBAL CHANGE BIOLOGY,FEB,2014,a,,,a,,Y,,
"Wolkovich, EM; Cleland, EE",Phenological niches and the future of invaded ecosystems with climate change,AOB PLANTS,,2014,r,meta-analysis,meta-analysis,,,,,
